"","Year","Date","ID","Area","Colony.Site","Colony.Size","Sex","year2","forehead","Cat.Year"
"1",1982,158,"2",44.202,"36",300,"M",3928324,0.233857274,"1982"
"2",1982,144,"3",62.014,"2",600,"M",3928324,0.328958436,"1982"
"3",1983,178,"4",47.823,"22",100,"F",3932289,0.250691291,"1983"
"4",1983,144,"5",47.291,"5",180,"M",3932289,0.222771675,"1983"
"5",1983,144,"6",51.775,"5",180,"M",3932289,0.205071393,"1983"
"6",1983,144,"7",66.961,"5",180,"F",3932289,0.161562464,"1983"
"7",1983,144,"8",44.806,"5",180,"M",3932289,0.142486471,"1983"
"8",1983,144,"9",59.495,"5",180,"M",3932289,0.332330141,"1983"
"9",1983,190,"10",49.172,"5",180,"F",3932289,0.201334377,"1983"
"10",1983,179,"11",74.902,"22",100,"F",3932289,0.125495539,"1983"
"11",1986,158,"13",59.109,"44",100,"F",3944196,0.200381747,"1986"
"12",1986,152,"14",44.433,"5",750,"F",3944196,0.238151033,"1986"
"13",1986,137,"15",32.739,"5",750,"M",3944196,0.108884835,"1986"
"14",1986,163,"16",43.005,"30",140,"M",3944196,0.232001113,"1986"
"15",1986,139,"17",46.135,"5",750,"M",3944196,0.186050092,"1986"
"16",1986,148,"18",41.056,"5",750,"M",3944196,0.282371383,"1986"
"17",1986,175,"19",57.07,"1",1100,"M",3944196,0.335817361,"1986"
"18",1986,184,"21",49.203,"5",750,"M",3944196,0.352512962,"1986"
"19",1986,150,"22",51.416,"5",750,"M",3944196,0.32480246,"1986"
"20",1986,169,"23",59.453,"45",1000,"M",3944196,0.122400356,"1986"
"21",1986,143,"24",82.047,"5",750,"F",3944196,0.190413815,"1986"
"22",1986,176,"25",62.559,"5",750,"M",3944196,0.128075332,"1986"
"23",1987,153,"27",73.969,"5",1100,"F",3948169,0.403811677,"1987"
"24",1987,172,"28",45.375,"30",340,"F",3948169,0.130818651,"1987"
"25",1987,133,"29",52.465,"5",1100,"F",3948169,0.2040994,"1987"
"26",1987,192,"31",49.774,"5",1100,"F",3948169,0.165039758,"1987"
"27",1987,170,"32",53.762,"20",400,"F",3948169,0.134669824,"1987"
"28",1987,138,"33",59.496,"5",1100,"M",3948169,0.089092432,"1987"
"29",1987,143,"34",57.772,"30",340,"M",3948169,0.307891562,"1987"
"30",1988,164,"35",51.103,"44",750,"M",3952144,0.24809585,"1988"
"31",1988,173,"36",58.813,"19",350,"M",3952144,0.228870635,"1988"
"32",1988,132,"37",75.519,"32",54,"F",3952144,0.191284562,"1988"
"33",1988,149,"38",56.4,"5",1400,"M",3952144,0.252576845,"1988"
"34",1988,156,"39",59.492,"1",500,"M",3952144,0.259396263,"1988"
"35",1988,147,"40",54.299,"1",500,"M",3952144,0.179450842,"1988"
"36",1988,155,"41",58.802,"30",375,"M",3952144,0.172268525,"1988"
"37",1988,144,"42",53.3,"5",1400,"M",3952144,0.1322373,"1988"
"38",1988,164,"43",51.818,"5",1400,"M",3952144,0.252535351,"1988"
"39",1988,130,"44",54.267,"5",1400,"M",3952144,0.125346483,"1988"
"40",1988,157,"45",72.369,"5",1400,"M",3952144,0.286615389,"1988"
"41",1988,139,"48",49.951,"5",1400,"M",3952144,0.201537557,"1988"
"42",1988,173,"49",64.873,"19",350,"M",3952144,0.214279056,"1988"
"43",1989,188,"51",55.806,"5",2200,"F",3956121,0.248604672,"1989"
"44",1989,148,"53",41.956,"41",125,"M",3956121,0.24404137,"1989"
"45",1989,168,"54",54.069,"30",260,"F",3956121,0.217840282,"1989"
"46",1989,192,"55",50.665,"5",2200,"F",3956121,0.27336822,"1989"
"47",1989,187,"56",77.409,"53",1800,"F",3956121,0.176048831,"1989"
"48",1989,149,"57",49.034,"41",125,"M",3956121,0.195105794,"1989"
"49",1989,151,"58",56.073,"5",2200,"F",3956121,0.230055858,"1989"
"50",1989,169,"59",60.878,"5",2200,"F",3956121,0.243557428,"1989"
"51",1989,176,"61",64.058,"5",2200,"M",3956121,0.165610005,"1989"
"52",1989,173,"63",61.033,"46",850,"F",3956121,0.23399569,"1989"
"53",1989,180,"65",66.101,"5",2200,"F",3956121,0.326485246,"1989"
"54",1989,142,"66",46.819,"5",2200,"M",3956121,0.236711529,"1989"
"55",1990,181,"67",50.727,"5",2350,"F",3960100,0.259268805,"1990"
"56",1990,151,"68",63.762,"11",550,"M",3960100,0.267494728,"1990"
"57",1990,134,"69",55.127,"35",750,"M",3960100,0.310770095,"1990"
"58",1990,179,"71",42.502,"5",2350,"F",3960100,0.222286995,"1990"
"59",1990,175,"72",72.793,"1",2000,"F",3960100,0.208011115,"1990"
"60",1990,150,"73",50.7,"10",85,"F",3960100,0.152541811,"1990"
"61",1990,181,"74",41.078,"5",2350,"M",3960100,0.214712574,"1990"
